,TOTAL MX
552,1382.7
553,118.61
554,5223.13
555,2119.84
556,174.0
557,160.07999999999998
558,3492.18
559,1172.76
560,0.0
563,781.38
565,359.6
566,2784.0
567,1508.0
568,580.0
569,0.0
570,1300.15
571,537.9946
572,1818.88
573,359.79
574,1151.81
575,1014.1899999999999
576,0.0
577,2494.0
579,0.0
580,0.0
581,0.0
582,398.99
583,0.0
584,820.0
585,1378.08
586,0.0
587,269.78999999999996
588,0.0
589,116.26
590,0.0
591,517.94
592,0.0
593,417.6
595,1133.69
596,0.0
597,621.44
599,3699.24
600,0.0
601,0.0
602,0.0
603,296.96
604,125.0
605,0.0
606,0.0
608,70.0
609,0.0
610,348.0
611,100.0
612,580.0
613,363.20000000000005
614,500.0
617,3549.6
618,719.2
619,2039.28
620,2237.64
622,2925.06
624,99.0
625,330.37
626,0.0
627,0.0
628,3712.0
629,4151.99
630,0.0
631,2066.75
632,2289.01
633,275.0
634,1346.64
635,893.2
636,121.57
637,7258.070000000001
639,100.0
641,560.28
642,0.0
644,1974.7600000000002
645,829.33
646,342.21000000000004
648,748.2
649,0.0
651,140.0
652,95.0
653,5685.849999999999
654,827.0
655,3111.99
656,240.12
657,1034.67
658,568.4
659,243.6
660,0.0
661,105.0
662,0.0
664,0.01
665,2100.06
666,0.0
667,0.0
669,847.5899999999999
670,0.0
671,580.0
672,0.0
673,3323.4
674,2371.04
675,571.37
676,676.72
677,0.0
678,2119.84
679,4872.0
680,0.0
681,487.2
682,615.26
683,1264.4
684,4575.62
685,208.8
686,281.0
687,1590.16
688,33.64
689,2985.84
691,0.01
692,360.0
693,1624.0
694,303.34000000000003
696,3149.98
697,155.0
698,575.48
699,0.0
700,6199.92
701,5976.52
702,6914.75
703,144.0
704,7348.0
706,147.0
707,0.0
708,870.01
709,118.88
710,1486.75
712,704.12
713,0.0
715,997.6
716,1981.06
717,135.78
718,1233.66
719,5637.6
720,67.34
721,1669.47
722,371.2
723,0.0
724,0.0
725,590.6999999999999
726,0.0
727,310.06
728,0.0
729,2554.32
730,876.43
731,784.82
732,784.82
733,784.82
734,2163.5299999999997
735,2998.6
736,0.0
737,0.0
738,125.5
739,3575.76
740,3540.32
